a	ئا  
ajanin	ئاژانن  
ajaninewe	ئاژاننەوه  
ajawe	ئاژاوه  
ajawĺe	ئاژاوڵه  
ajaĺ	ئاژاڵ  
ajeĺ	ئاژەڵ  
ajeĺ dar	ئاژەڵدار  
ajeĺ darî	ئاژەڵداری  
ajin	ئاژن  
ajinî	ئاژنی  
ajinîn	ئاژنین  
ajuewan	ئاژەوان  
ajuwan	ئاژووان  
ajyag	ئاژیاگ  
ajyan	ئاژیان  
ajyaê	ئاژیاێ  
ajîn	ئاژین  
ajîr	ئاژیر  
ajîye	ئاژییه  
ajû	ئاژوو  
ajû dan	ئاژوودان  
ak	ئاک  
akiĺe	ئاکڵه  
akiĺe û ziĺziĺe	ئاکڵەوزڵزڵه  
akû	ئاکوو  
akûm	ئاکووم  
alan	ئالان  
alan bir̂	ئالانبڕ  
alan bir̂ kirdin	ئالانبڕ کردن  
alanî	ئالانی  
alif	ئالـْف  
alig	ئالـْگ  
alyan	ئالیان  
alyawa	ئالیاوا  
alyawa kon	ئالیاوا کۆن  
alyawaê canbexş xan	ئالیاواێ جانبەخش خان  
alyawaê maran tü	ئالیاواێ مارانتؤ  
aly kurdan	ئالی کوردان  
a lêwa	ئا لێوا  
alî biĺax	ئالیبڵاخ  
alînewa	ئالی نەوا  
alîq	ئالیق  
alîçe	ئالیچه  
alû	ئالوو  
alû balû	ئالوو بالوو  
alûde	ئالووده  
alûçe	ئالووچه  
alün	ئالؤن  
am	ئام  
ama	ئاما  
amac	ئاماج  
amade	ئاماده  
amade bün	ئامادەبؤن  
amade kirdin	ئامادەکردن  
amaj	ئاماژ  
amaje	ئاماژه  
amam	ئامام  
aman	ئامان  
amanc	ئامانج  
amanet	ئامانەت  
amani daman	ئامانْدامان  
aman tuwasin	ئامان توواسن  
amay	ئامای  
ama û luwa	ئاما ولووا  
amaĺ	ئاماڵ  
amaĺî	ئاماڵی  
ambaz	ئامباز  
amed	ئامەد  
amey	ئامەی  
amey û diramey	ئامەی ودرامەی  
aminet	ئامنەت  
amixte	ئامخته  
amiĺe	ئامڵه  
amişû	ئامْشوو  
amr̂az	ئامڕاز  
amêjen	ئامێژەن  
amêjen kirdin	ئامێژەنکردن  
amête	ئامێته  
amête bün	ئامێتەبؤن  
amête kirdin	ئامێتەکردن  
amêza	ئامێزا  
amîn	ئامین  
amîne	ئامینه  
amîn û îşila	ئامین وئیشلا  
amû	ئاموو  
amûjar	ئامووژار  
amûjarî	ئامووژاری  
amûjarî kirdin	ئامووژاریکردن  
amûjgar	ئامووژگار  
amûjyar	ئامووژیار  
amûjyarî	ئامووژیاری  
amûza	ئامووزا  
amûza jin	ئامووزا ژن  
amûza we za	ئامووزاوەزا  
amûzaza	ئامووزازا  
amûĺe	ئامووڵه  
amûşû	ئامووشوو  
amûşû ker	ئامووشووکەر  
an	ئان  
anahîta	ئاناهیتا  
andîde	ئاندیده  
andîde û amîn	ئاندیدەوئامین  
ane	ئانه  
anew	ئانەو  
angû	ئانگوُ  
anqes	ئانقەس  
anqest	ئانقەست  
antirîk	ئانتریک  
anê	ئانێ  
anêde	ئانێده  
anî	ئانی  
an û ûn	ئان وئوون  
anĝiĺe	ئانگڵه  
anĝür	ئەنگؤر  
apardî	ئاپاردی  
apunçe	ئاپونچه  
aqa	ئاقا  
aqa mîr̂û	ئاقامیڕوو  
aqayî	ئاقایی  
aqbiĺaq	ئاقبڵاق  
aqiĺ	ئاقڵ  
aqwet	ئاقوەت  
aqûĺ	ئاقوُڵ  
ar	ئار  
ara	ئارا  
ara kirdin	ئاراکردن  
aram	ئارام  
aram bir̂yan	ئارام بڕیان  
aram bün	ئارام بؤن  
aram girtin	ئارام گرتن  
aramid bigrê	ئارامـْد بگرێ  
aramişt	ئارامشت  
aram kirdin	ئارام کردن  
aramî	ئارامی  
aran	ئاران  
aranle	ئارانله  
arase	ئاراسه  
araz	ئاراز  
arazi diĺtenĝî	ئارازْ دڵتەنگی  
araz kirdin	ئارازکردن  
araêşt	ئاراێشت  
araşt	ئاراشت  
ard	ئارد  
ardawêj	ئارداوێژ  
ardawî	ئارداوی  
ard behre	ئارد بەهره  
ardek	ئاردەک  
ardekîn	ئاردەکین  
arde mişar	ئاردەمشار  
ardewa	ئاردەوا  
ardewar̂e	ئاردەواڕه  
arde şüle	ئاردەشؤله  
ardeşüye	ئاردەشؤیه  
ardigin	ئاردْگن  
ardin	ئاردن  
ardi naw dir̂ig	ئاردْ ناو دڕگ  
ardi şîr	ئاردْشیر  
ard kîş	ئاردکیش  
ardluv	ئاردلوڤ  
ardmaĺik	ئاردماڵک  
ard peînig	ئاردپەینـْگ  
ard pyenig	ئاردپیەنـْگ  
ard r̂û	ئاردڕوو  
arduĺe	ئاردوڵه  
arduĺ eşîr	ئاردوڵەشیر  
ard we ard	ئارد وەئارد  
ardwere	ئاردوەره  
ardwere	ئاردوەره  
ard çinĝaĺ	ئاردچنگاڵ  
ardî	ئاردی  
ardîn	ئاردین  
ard û rün	ئارد و رؤن  
ardûĺik	ئاردُوڵک  
ardşû	ئاردشوو  
are	ئاره  
arema	ئارەما  
arezû	ئارەزوو  
arezûmend	ئارەزوومەند  
areş	ئارەش  
ar hatin	ئارهاتن  
ar hatin	ئارهاتن  
arig	ئارْگ  
arimen	ئارْمەن  
arinc	ئارنج  
arinĝ	ئارنگ  
arixa	ئارْخا  
arişk	ئارْشک  
arjing	ئارژنگ  
arufte	ئاروفته  
arwane sîye	ئاروانەسییه  
arxe	ئارخه  
arxeyan	ئارخەیان  
arxe	ئارغه  
arxut	ئارغوت  
arzen	ئارزەن  
arzin	ئارزن  
arêt	ئارێت  
arînawa	ئارینئاوا  
arû	ئاروو  
arûq	ئاروُق  
arü	ئارؤ  
arünawa	ئارؤنئاوا  
ar̂azanin	ئاڕازانن  
ar̂ese	ئاڕەسه  
ar̂îxt	ئاڕیخت  
ar̂îxta	ئاڕیختا  
as	ئاس  
asa	ئاسا  
asan	ئاسان  
asare	ئاساره  
asare xwir̂ xiwr̂	ئاسارەخوڕخوڕ  
asare ziĺe	ئاسارەزڵه  
asare ziĺge	ئاسارەزڵگه  
asare çîlçîl	ئاساره چیلچیل  
asare şîpşîp	ئاسارە شیپشیپ  
asay	ئاسای  
asayiş	ئاسایش  
asayişt	ئاسایشت  
asaş	ئاساش  
asek	ئاسەک  
aser	ئاسەر  
asewar	ئاسەوار  
asin	ئاسن  
asincaw	ئاسنجاو  
asin dir̂ig	ئاسندْڕگ  
asinger	ئاسنگەر  
asingeran	ئاسنگەران  
asin kwit	ئاسنکوت  
asin r̂uwa	ئاسنڕووا  
asinî	ئاسنی  
asinîn	ئاسنین  
ask	ئاسک  
askane dew	ئاسکانەدەو  
aske dew	ئاسکەدەو  
askemil	ئاسکەمل  
asman	ئاسمان  
asmanî	ئاسمانی  
asmawa	ئاسماوا  
asmin	ئاسمن  
asmîn	ئاسمین  
astare	ئاستاره  
astare begil	ئاستارەبەگل  
astmû	ئاستموو  
asuwar	ئاسووار  
asya	ئاسیا  
asyaw	ئاسیاو  
asyawan	ئاسیاوان  
asyaw cû	ئاسیاو جوو  
asyaw mûsa	ئاسیاو مووسا  
asyaw qirmiz	ئاسیاو قرمز  
asê	ئاسێ  
asêw	ئاسێو  
asî	ئاسی  
asîl	ئاسیل  
asîme	ئاسیمه  
asîn	ئاسین  
asîndar	ئاسیندار  
asîye	ئاسییه  
asû	ئاسوو  
asûde	ئاسووده  
asûdeyî	ئاسوودەیی  
asûr	ئاسوور  
at	ئات  
atac	ئاتاج  
atacî	ئاتاجی  
atas	ئاتاس  
ater	ئاتەر  
ateş	ئاتەش  
ateşdan	ئاتەشدان  
ateşe	ئاتەشه  
ateşe dar	ئاتەشەدار  
ateşe girtê	ئاتەشەگرتێ  
ateşe per̂î	ئاتەشەپەڕی  
ateşe û xwire	ئاتەشە وخوره  
ateşga	ئاتەشگا  
ateşkede	ئاتەشکده  
ateşxan	ئاتەشخان  
ateşxane	ئاتەشخانه  
ateşî	ئاتەشی  
ati éêaĺ	ئاتْ عێياڵ  
atikbûtik	ئاتـْک بووتک  
atik mûtik	ئاتـْک مووتک  
at û éêaĺ	ئات وعێياڵ  
avis	ئاڤس  
avjen	ئاڤژەن  
avjenî	ئاڤژەنی  
avtyenig	ئاڤتیەنـْگ  
avtînig	ئاڤتینـْگ  
avê	ئاڤێ  
avê	ئاڤێ  
aw	ئاو  
awa	ئاوا  
awa bün	ئاوابؤن  
awajû	ئاوئاژوو  
awa kirdin	ئاوا کردن  
awa kirdinewe	ئاوا کردنەوه  
awan	ئاوان  
awar	ئاوار  
aware	ئاواره  
aware bün	ئاوارە بؤن  
aware kirdin	ئاوارەکردن  
awareyl	ئاوارەیل  
awareyî	ئاوارەیی  
aw aweşû	ئاوئاوەشوو  
away	ئاوای  
away ézîmeyaxan	ئاوای عەزی مەێاخان  
away hewan	ئاوای هەوان  
away misefa xan	ئاوای مسەفاخان  
away qeĺa	ئاوای قەڵا  
awayî	ئاوایی  
awaz	ئاواز  
awaze	ئاوازه  
awaze xwen	ئاوازەخوەن  
awaĺ	ئاواڵ  
aw aĺet	ئاوئاڵەت  
awaşe	ئاواشه  
aw baregey	ئاوبارەگەی  
aw barîk	ئاوباریک  
aw barîke	ئاوباریکه  
aw barîki syakemer	ئاوباریک سیاکەمەر  
aw baz	ئاوباز  
aw bazî	ئاوبازی  
awbaĺa	ئاوباڵا  
aw ber	ئاوبەر  
aw bere	ئاوبەره  
aw besan	ئاوبەسان  
aw beş	ئاوبەش  
aw birde	ئاوبرده  
aw birdin	ئاوبردن  
aw birdê	ئاوبردێ  
aw bir̂	ئاوبڕ  
aw bir̂ kirdin	ئاوبڕکردن  
aw bê birnĝaw	ئاو بێ برنگاو  
aw bêyar	ئاوبێار  
aw bün	ئاوبؤن  
awcer̂	ئاوجەڕ  
aw ciz	ئاوجز  
aw cüye	ئاوجؤیه  
awcüye paş	ئاوجؤیەپاش  
aw dan	ئاودان  
awdanan	ئاودانان  
aw danewe	ئاودانەوه  
aw dar	ئاودار  
aw daştin	ئاوداشتن  
aw der	ئاودەر  
aw der dan	ئاودەردان  
aw des	ئاودەس  
aw de zig	ئاودەزْگ  
aw deĺanin	ئاودەڵانن  
aw deĺin	ئاودەڵن  
aw dir̂	ئاودڕ  
aw dir̂ge	ئاودڕگه  
aw diz	ئاودز  
aw dizek	ئاودزەک  
aw dû	ئاودوو  
aw dûz	ئاودووز  
aw dûz bün	ئاودووزبؤن  
awedan	ئاوەدان  
awedan bûnewe	ئاوەدان بوُنەوه  
awedan bün	ئاوەدان بؤن  
awedan kirdin	ئاوەدان کردن  
awedan kirdinewe	ئاوەدان کردنەوه  
awedanî	ئاوەدانی  
awe kwĺ	ئاوەکوڵ  
awe kwĺin	ئاوەکوڵن  
awekî	ئاوەکی  
awekîn	ئاوەکین  
awe kûĺa kirdin	ئاوەکوُڵا کردن  
awe lem	ئاوەلەم  
awe lêz	ئاوەلێز  
awelêz bün	ئاوەلێز بؤن  
awelêz kirdin	ئاوەلێز کردن  
aw emar	ئاوئەمار  
awenîk	ئاوەنیک  
awen û r̂ewen	ئاوەن و رەوەن  
awe r̂êj	ئاوەڕێژ  
awer̂üt	ئاوەڕؤت  
awext	ئاوەخت  
awextxwaz	ئاوەختخواز  
awextî	ئاوەختی  
awe xwir	ئاوەخور  
awe za	ئاوەزا  
awezê	ئاوەزێ  
awezên	ئاوەزێن  
awe zûĺik	ئاوەزووڵک  
awe çûr̂e	ئاوەچووڕه  
aw gerdan	ئاوگەردان  
aw germe	ئاوگەرمه  
awgez	ئاوگەز  
aw girtin	ئاوگرتن  
aw gwini xer dan	ئاوگونْ خەردان  
aw gêz	ئاوگێز  
aw gîr	ئاوگیر  
aw gûş	ئاوگووش  
aw gûş hawirdin	ئاوگووش هاوردن  
awgûşt	ئاوگووشت  
aw gûştî	ئاوگووشتی  
aw har	ئاوهار  
aw hatin	ئاوهاتن  
aw hatinewe	ئاوهاتنەوه  
aw hawirdin	ئاوهاوردن  
awher	ئاوهەر  
aw heĺawirdin	ئاوهەڵاوردن  
aw heĺgirtin	ئاوهەڵگرتن  
aw heĺêncanin	ئاو هەڵێنجانن  
aw hiĺawrdin	ئاوهڵاوردن  
awi cû	ئاوْجوو  
awi dem	ئاوْ دەم  
awil	ئاوْل  
awila	ئاوْلا  
awil wawil	ئاوْل واوْل  
awinĝ	ئاوْنگ  
awir	ئاوْر  
awirdan	ئاوْردان  
awir peres	ئاوْرپەرەس  
awir̂an	ئاوڕان  
awis	ئاوْس  
awis bün	ئاوْس بؤن  
awis kirdin	ئاوْسکردن  
awi taw	ئاوْتاو  
awiĺanî mîrkî	ئاوڵانی میرکی  
awiĺax	ئاوڵاخ  
aw kan	ئاوکان  
aw ken	ئاوکەن  
aw kirdin	ئاوکردن  
aw kirdini hiĺûk	ئاوکردنْ هڵووک  
aw kwitan	ئاوکوتان  
aw kwiĺanin	ئاوکوڵانن  
awkîş	ئاوکیش  
aw kîşan	ئاوکیشان  
aw kîşî	ئاوکیشی  
awleme	ئاولەمه  
aw lirîpe ker	ئاولریپەکەر  
awlêjge	ئاولێژگه  
awlêjnĝe	ئاولێژنگه  
aw lê çîn	ئاولێچین  
aw lêĺaw	ئاولێڵاو  
aw mar̂ê	ئاوماڕێ  
awmaĺ	ئاوماڵ  
aw maĺe	ئاوماڵه  
aw maĺik	ئاوماڵک  
aw maĺî	ئاوماڵی  
aw mirwar	ئاومروار  
aw mirwarî	ئاومرواری  
awpaĺû	ئاوپاڵوو  
awpaş	ئاوپاش  
awpaşî	ئاوپاشی  
awper̂	ئاوپەڕ  
awpirşe	ئاوپرشە 
awpir̂je	ئاوپڕژە 
awpir̂ze	ئاوپڕزه  
aw pişanin	ئاوپشانن  
aw pêçî	ئاوپێچی  
aw qen	ئاوقەن  
aw qert	ئاوقەرت  
aw qûre	ئاوقووره  
awre	ئاوره  
awrîşim	ئاوریشـْم  
aw r̂axûz	ئاوڕاخووز  
aw r̂ew	ئاو رەو  
aw r̂eşe	ئاوڕەشه  
aw r̂işanin	ئاو رشانن  
aw r̂êj	ئاوڕێژ  
aw r̂êjnĝe	ئاوڕێژنگه  
aw r̂ûşin kere	ئاوڕووشنکەره  
aw r̂ûşnew kere	ئاوڕووشنەوکەرە  
awr̂ü	ئاوڕؤ  
aw r̂ü dar	ئاوڕؤ دار  
aw r̂ün	ئاوڕؤن  
aw r̂üt	ئاوڕؤت  
awsa	ئاوسا  
awsa gi	ئاوسا گْ  
awsan	ئاوسان  
awsan bün	ئاوسان بؤن  
aw saĺ	ئاو ساڵ  
awsaĺege	ئاوساڵەگه  
aw senin	 ئاو سەنن  
aw sîn	ئاوسین  
aw taf	ئاوتاف  
aw tirnĝe ker	ئاوترنگەکەر  
aw tiĺa	ئاوتڵا  
aw we ban kîşan	ئاو وەبان کیشان  
aw we mili agir ker	ئاو وەملْ ئاگرکەر  
aw wemili agir kirdin	ئاو وەملْ ئاگر کردن  
aw xwa	ئاوخوا  
aw xwa kirdin	ئاوخوا کردن  
aw xwardin	ئاوخواردن  
aw xwardinewe	ئاوخواردنەوه  
aw xwer çermê	ئاوخوەرچەرمێ  
aw xwerî	ئاوخوەری  
aw xêz	ئاوخێز  
awyan	ئاویان  
awyanî	ئاویانی  
awyar	ئاویار  
awyarî	ئاویاری  
awyarî ker	ئاویاریکەر  
awyarî kirdin	ئاویاری کردن  
awye	ئاویه  
aw zar	ئاوزار  
aw zaye dem	ئاو زایەدەم  
aw zaye çew	ئاوزایەچەو  
aw zayn	ئاوزاین  
aw zel dan	ئاو زەل دان  
aw zê	ئاوزێ  
aw zêyaê	ئاوزێیاێ  
aw çaw dayn	ئاوچاوداین  
aw çaw senin	ئاوچاوسەنن  
aw çeqçeqe	ئاوچەقچەقە 
aw çinîn	ئاوچنین  
aw çişme	ئاوچشمه  
awêj	ئاوێژ  
awêjtin	ئاوێژتن  
awête	ئاوێته  
awêyan	ئاوێان  
awêyanî	ئاوێانی  
awêz	ئاوێز  
awêşte	ئاوێشته  
awî	ئاوی  
awî bün	ئاوی بؤن  
awînik	ئاوینـْک  
aw û giĺ	ئاو و گڵ  
aw û hewa	ئاو و هەوا  
aw û taw	ئاو و تاو  
awĺe	ئاوڵه  
awĺe kwit	ئاوڵەکوت  
awĺe kwitan	ئاوڵەکوتان  
awĺe le r̂ü	ئاوڵه لەڕؤ  
awĺe r̂ü	ئاوڵەڕؤ  
awş	ئاوش  
aw şeqe ker	ئاو شەقەکەر  
aw şikin	ئاوشکن  
awşinĝ	ئاوشنگ  
ax	ئاخ  
axan	ئاخان  
axanin	ئاخانن  
axebanû	ئاخەبانوُ  
axelêwe	ئاخەلێوه  
axeza	ئاخەزا  
axheĺkîş	ئاخ هەڵکیش  
ax heĺkîşan	ئاخ هەڵکیشان  
axidax	ئاخْداخ  
axil	ئاخل  
axin	ئاخن  
axinîn	ئاخنین  
axir	ئاخر  
axir ber	ئاخربەر  
axir car	ئاخرجار  
axiremîn	ئاخرەمین  
axiret	ئاخرەت  
axir kar	ئاخرکار  
axir ser	ئاخرسەر  
axirwedad	ئاخر وەداد  
axir xêr	ئاخرخێر  
axir zeman	ئاخرزەمان  
axirê	ئاخرێ  
axirî	ئاخری  
axirîn	ئاخرین  
axir şer̂	ئاخرشەڕ  
axi tif	ئاخْتف  
axiînewe	ئاخنینەوه  
axiĺ	ئاخڵ  
axiĺe	ئاخڵه  
axiĺe dan	ئاخڵەدان  
ax kîşan	ئاخکیشان  
ax lê heĺkîşan	ئاخلێ هەڵکیشان  
axuv	ئاخوڤ  
ax wer dan	ئاخ وەردان  
axwin	ئاخون  
axwinî	ئاخونی  
axwir̂	ئاخوڕ  
axwiĺ	ئاخوڵ  
axye	ئاخیه  
axêze	ئاخێزه  
axêzge	ئاخێزگه  
axî	ئاخی  
axîn	ئاخین  
axîn daxîn	ئاخین داخین  
ax û dax	ئاخ و داخ  
ax û dax	ئاخ وداخ  
ax û nicîd	ئاخ ونجید  
ax û nîz	ئاخ ونیز  
ax́	ئاغ  
ax́a	ئاغا  
ax́abanû	ئاغابانوو  
ax́abawe	ئاغاباوه  
ax́a bira	ئاغابرا  
ax́a bizirg	ئاغابزرگ  
ax́a jin	ئاغاژن  
ax́amanĝ	ئاغامانگ  
ax́a nazar	ئاغا نازار  
ax́ar	ئاغار  
ax́aĺ	ئاغاڵ  
ax́e	ئاغه  
ax́e banû	ئاغەبانوو  
ax́e bira	ئاغەبرا  
ax́iĺe	ئاغڵه  
ax́î	ئاغی  
axaĺiş	ئاغاڵش  
ay	ئای  
ayax	ئایاخ  
ay ay	ئایئای  
aye	ئایه  
ayetî	ئایەتی  
ayiş	ئایش  
ayişt	ئایشت  
ayl	ئایل  
ayle men	ئایلەمەن  
ayleyl	ئایلەیل  
ayne	ئاینه  
ayne cû	ئاینەجوو  
aynele	ئاینەله  
ayne merg	ئاینەمەرگ  
ayne merg bün	ئاینەمەرگ بؤن  
ayne merg kirdin	ئاینەمەرگ کردن  
aynewen	ئاینەوەن  
ayney ewdila	ئاینەی ئەودلا  
ayney èbas	ئاینەی عەباس  
ayne û bişêwe	ئاینەوبشێوه  
ayne û r̂ewen	ئاینە و رەوەن  
ayniĺe	ئاینڵه  
ayî	ئایی  
ayşewen	ئایشەوەن  
ayşewĺ	ئایشەوڵ  
az	ئاز  
aza	ئازا  
aza bir̂min	ئازابڕمن  
azad	ئازاد  
azadazad	ئازادئازاد  
azadî	ئازادی  
azam	ئازام  
azan	ئازان  
azan wzan	ئازانوازان  
aza per̂	ئازاپەڕ  
azar	ئازار  
azar dan	ئازار دان  
azar dî	ئازار دی  
azari diĺtenĝî	ئازار دڵتەنگی  
azar sê	ئازار سێ  
azay	ئازای  
azayd	ئازاید  
azaym	ئازایم  
azayn	ئازاین  
azayî	ئازایی  
aza û baza	ئازا وبازا  
aza û biĺa	ئازا وبڵا  
aza û liwin	ئازاولوْن  
azaĺe	ئازاڵه  
azer	ئازەر  
azew	ئازەو  
azewane	ئازەوانه  
azewen	ئازەوەن  
azewne	ئازەونه  
azewî	ئازەوی  
azifte	ئازفته  
azigar	ئازگار  
azirde	ئازرده  
azirde bün	ئازرده بؤن  
azirde kirdin	ئازردەکردن  
azir̂e û bazir̂e	ئازڕەوبازڕه  
aziĺde	ئازڵده  
aziĺe û baziĺe	ئازڵەوبازڵه  
azma	ئازما  
azmaîn	ئازماین  
azyet	ئازیەت  
azyet bar	ئازیەتبار  
azyetî	ئازیەتی  
azyetî girtin	ئازیەتی گرتن  
azyetî hêz dan	ئازیەتی هێزدان  
azîden	ئازیدەن  
az û beze	ئازوبەزه  
azûxe	ئازووخه  
açekiberçek	ئاچەکبەرچەک  
açer	ئاچەر  
açerdan	ئاچەردان  
aêr	ئاێر  
aêrmedar	ئاێرمەدار  
aêya	ئاێا  
aêyane	ئاێانه  
aêyere	ئاێيەره  
aêşe	ئاێشه  
aĺ	ئاڵ  
aĺa	ئاڵا  
aĺaker	ئاڵاکەر  
aĺanî	ئاڵانی  
aĺar̂ezge	ئاڵاڕەزگه  
aĺaw	ئاڵاو  
aĺayî	ئاڵایی  
aĺ birdin	ئاڵبردن  
aĺ birdinewe	ئاڵبردنەوه  
aĺe	ئاڵه  
aĺem	ئاڵەم  
aĺem aşkira	ئاڵەم ئاشکرا  
aĺem wazê	ئاڵەم وازێ  
aĺet	ئاڵەت  
aĺetinî	ئاڵەتنی  
aĺi beçe	ئاڵبەچه  
aĺi blüqet	ئاڵبلؤقەت  
aĺinĝ	ئاڵنگ  
aĺiş digaş	ئاڵش دگاش  
aĺişt	ئاڵشت  
aĺişt kirdin	ئاڵشت کردن  
aĺiştî	ئاڵشتی  
aĺmadîn	ئاڵمادین  
aĺme	ئاڵمه  
aĺtün	ئاڵتؤن  
aĺw waĺa	ئاڵو واڵا  
aĺxe	ئاڵغه  
aĺê	ئاڵێ  
aĺ û gwir̂	ئاڵ وگوڕ  
aĺû paĺû	ئاڵوو پاڵوو  
aĺûz	ئاڵووز  
aĺûş	ئاڵووش  
aş	ئاش  
aşane	ئاشانه  
aşan û bixwran	ئاشانوبخوران  
aşan û xwran	ئاشانوخوران  
aşar	ئاشار  
aşardin	ئاشاردن  
aşarya	ئاشاریا  
aşas	ئاشاس  
aşast	ئاشاست  
aşasî	ئاشاسی  
aşaz	ئاشاز  
aşeqwiĺî	ئاشەقوڵی  
aşewane	ئاشەوانه  
aşge piçganî	ئاشگەپچگانی  
aşgewin	ئاشگەون  
aşgezer̂îne	ئاشگەزەڕینه  
aşi birinc	ئاشْ برنج  
aşi gagilû	ئاشْگاگلوو  
aşi maş	ئاشْماش  
aşi panigunî	ئاشْپانگونی  
aşkira	ئاشکرا  
aşkira bün	ئاشکرابؤن  
aşkira kirdin	ئاشکرا کردن  
aşkirayî	ئاشکرایی  
aşna	ئاشنا  
aşna bûn	ئاشنا بوون  
aşna kirdin	ئاشنا کردن  
aşnayî	ئاشنایی  
aşpaĺin	ئاشپاڵن  
aşpaĺû	ئاشپاڵوو  
aşpez	ئاشپەز  
aşpezxan	ئاشپەزخان  
aşpez xane	ئاشپەزخانه  
aşpezî	ئاشپەزی  
aşt	ئاشت  
aştim	ئاشتم  
aştin	ئاشتن  
aştmerê	ئاشتمەرێ  
aşye	ئاشیە 
aşû	ئاشوو  
aşûx́	ئاشووغ  
a	عا  
aba	عابا  
ac	عاج‌  
aciz	عاجز  
adet	عاده‌ت‌  
adet girtin	عاده‌تگرتن‌  
adet kirdin	عاده‌ت كردن‌  
adiĺ	عادڵ  
afiret	عافره‌ت‌  
afyet	عافیه‌ت‌  
alîwer	عالیوه‌ر  
alîxanî	عالیخانی  
aqiĺ	عاقڵ  
ar	عار  
arebane	عاره‌بانه‌  
asa	عاسا  
azaw	عازاو  
aĺem	عاڵه‌‌م‌  
aĺem aşkiray	عاڵه‌‌م‌ ئاشكرای  
aĺem sefay	عاڵه‌‌م ‌سه‌فای  
